size,ranks,swthreads,time
16000,1,1,205.889
16000,1,1,205.889
16000,1,1,205.889
16000,2,1,97.0006
16000,2,1,97.0118
16000,2,1,96.9886
16000,10,1,18.8964
16000,10,1,18.921
16000,10,1,18.7882
16000,18,1,10.6596
16000,18,1,10.458
16000,18,1,10.452
16000,26,1,7.20096
16000,26,1,7.20181
16000,26,1,7.24745
16000,34,1,5.72904
16000,34,1,5.51619
16000,34,1,5.52991
16000,42,1,4.53783
16000,42,1,4.49006
16000,42,1,4.51366
16000,50,1,3.77546
16000,50,1,3.81222
16000,50,1,3.82239
16000,58,1,3.34946
16000,58,1,3.353
16000,58,1,3.34871
16000,66,1,3.16937
16000,66,1,2.89779
16000,66,1,2.90144
16000,74,1,2.62871
16000,74,1,2.62031
16000,74,1,2.62077
16000,82,1,2.38073
16000,82,1,2.37159
16000,82,1,2.37316
16000,90,1,2.19209
16000,90,1,2.4523
16000,90,1,2.20162
16000,98,1,2.06538
16000,98,1,2.31088
16000,98,1,2.05649
16000,106,1,1.89573
16000,106,1,1.90191
16000,106,1,1.91423
16000,114,1,1.81754
16000,114,1,1.79902
16000,114,1,1.81311
16000,122,1,1.71146
16000,122,1,1.72625
16000,122,1,1.95207
16000,130,1,3.18077
16000,130,1,3.18367
16000,130,1,3.40703
16000,138,1,3.27403
16000,138,1,3.05329
16000,138,1,2.99395
16000,146,1,2.84905
16000,146,1,2.86866
16000,146,1,2.84079
16000,154,1,2.74833
16000,154,1,2.71513
16000,154,1,2.70934
16000,162,1,2.59633
16000,162,1,2.60174
16000,162,1,2.58137
16000,170,1,2.5351
16000,170,1,2.48932
16000,170,1,2.5286
16000,178,1,2.4202
16000,178,1,2.40847
16000,178,1,2.40306
16000,186,1,2.3509
16000,186,1,2.31779
16000,186,1,2.35767
16000,194,1,2.2581
16000,194,1,2.2438
16000,194,1,2.24433
16000,202,1,2.14471
16000,202,1,2.15021
16000,202,1,2.17251
16000,210,1,2.15365
16000,210,1,2.11139
16000,210,1,2.14753
16000,218,1,2.05214
16000,218,1,2.12112
16000,218,1,2.07359
16000,226,1,1.99519
16000,226,1,1.98161
16000,226,1,1.97091
16000,234,1,1.97872
16000,234,1,1.9549
16000,234,1,1.94252
16000,242,1,1.92232
16000,242,1,1.91262
16000,242,1,1.90454
16000,250,1,1.93605
16000,250,1,1.93888
16000,250,1,1.91901
16000,256,1,1.92343
16000,256,1,1.87427
16000,256,1,1.93062
