size,ranks,swthreads,time
16000,2,1,97.1215
16000,2,1,97.6092
16000,2,1,97.2985
16000,2,8,13.0279
16000,2,8,12.8856
16000,2,8,13.0135
16000,2,16,6.893
16000,2,16,6.898
16000,2,16,6.88724
16000,2,24,4.78455
16000,2,24,4.78226
16000,2,24,4.78934
16000,2,32,3.58183
16000,2,32,3.56841
16000,2,32,3.729
16000,2,40,2.97462
16000,2,40,2.94053
16000,2,40,2.95014
16000,2,48,2.50665
16000,2,48,2.50688
16000,2,48,2.48929
16000,2,56,2.1996
16000,2,56,2.18226
16000,2,56,2.17975
16000,2,64,1.99069
16000,2,64,1.98687
16000,2,64,1.97898
