size,ranks,swthreads,time
10000,2,1,77.7302
10000,2,1,77.6922
10000,2,1,77.7241
10000,2,1,77.6853
10000,2,1,77.7129
10000,10,1,16.2805
10000,10,1,16.8371
10000,10,1,16.1852
10000,10,1,15.585
10000,10,1,16.8346
10000,18,1,8.97507
10000,18,1,9.00456
10000,18,1,9.55631
10000,18,1,8.89917
10000,18,1,9.45841
10000,26,1,6.90913
10000,26,1,6.11733
10000,26,1,6.92285
10000,26,1,6.83294
10000,26,1,6.16143
10000,34,1,5.44377
10000,34,1,5.29953
10000,34,1,4.71254
10000,34,1,4.88189
10000,34,1,5.41811
10000,42,1,4.43076
10000,42,1,4.48022
10000,42,1,4.35158
10000,42,1,4.53359
10000,42,1,4.50983
10000,50,1,3.9234
10000,50,1,3.87297
10000,50,1,3.88402
10000,50,1,3.19453
10000,50,1,3.17005
10000,58,1,2.82209
10000,58,1,2.80334
10000,58,1,2.82298
10000,58,1,2.81486
10000,58,1,2.81726
10000,66,1,2.52855
10000,66,1,2.55055
10000,66,1,2.53143
10000,66,1,2.51925
10000,66,1,2.52789
10000,74,1,2.27747
10000,74,1,2.26943
10000,74,1,2.26618
10000,74,1,2.28032
10000,74,1,2.25675
10000,82,1,2.07139
10000,82,1,2.05983
10000,82,1,2.09051
10000,82,1,2.08226
10000,82,1,2.0635
10000,90,1,1.90904
10000,90,1,1.90077
10000,90,1,1.91427
10000,90,1,1.91398
10000,90,1,1.89808
10000,98,1,1.79648
10000,98,1,1.75997
10000,98,1,1.78594
10000,98,1,1.77554
10000,98,1,1.77462
10000,106,1,1.70018
10000,106,1,1.66954
10000,106,1,1.71997
10000,106,1,1.67742
10000,106,1,1.68152
10000,114,1,1.61749
10000,114,1,1.58759
10000,114,1,1.57283
10000,114,1,1.56625
10000,114,1,1.57215
10000,122,1,1.48604
10000,122,1,1.47676
10000,122,1,1.5055
10000,122,1,1.49576
10000,122,1,1.48511
10000,130,1,2.07391
10000,130,1,2.07427
10000,130,1,2.06013
10000,130,1,2.03657
10000,130,1,2.06655
10000,138,1,1.99515
10000,138,1,1.98516
10000,138,1,1.99687
10000,138,1,1.97821
10000,138,1,1.97842
10000,146,1,1.92214
10000,146,1,1.90646
10000,146,1,1.89678
10000,146,1,1.8987
10000,146,1,1.90444
10000,154,1,1.84821
10000,154,1,1.82986
10000,154,1,1.84657
10000,154,1,1.82734
10000,154,1,1.82885
10000,162,1,1.78089
10000,162,1,1.76257
10000,162,1,1.77822
10000,162,1,1.75804
10000,162,1,1.74785
10000,170,1,1.68979
10000,170,1,1.70318
10000,170,1,1.68312
10000,170,1,1.68152
10000,170,1,1.68983
10000,178,1,1.6445
10000,178,1,1.64013
10000,178,1,1.64517
10000,178,1,1.63254
10000,178,1,1.62198
10000,186,1,1.57406
10000,186,1,1.5978
10000,186,1,1.57954
10000,186,1,1.56177
10000,186,1,1.57715
10000,194,1,1.55281
10000,194,1,1.5294
10000,194,1,1.52645
10000,194,1,1.57019
10000,194,1,1.53432
10000,202,1,1.51016
10000,202,1,1.47952
10000,202,1,1.46662
10000,202,1,1.47463
10000,202,1,1.45666
10000,210,1,1.47051
10000,210,1,1.4566
10000,210,1,1.47536
10000,210,1,1.45816
10000,210,1,1.44986
10000,218,1,1.44654
10000,218,1,1.44067
10000,218,1,1.43884
10000,218,1,1.45351
10000,218,1,1.41337
10000,226,1,1.4228
10000,226,1,1.3671
10000,226,1,1.37258
10000,226,1,1.35127
10000,226,1,1.36869
10000,234,1,1.35087
10000,234,1,1.36688
10000,234,1,1.36408
10000,234,1,1.37138
10000,234,1,1.37705
10000,242,1,1.33275
10000,242,1,1.31865
10000,242,1,1.36161
10000,242,1,1.32862
10000,242,1,1.31524
10000,250,1,1.33616
10000,250,1,1.34194
10000,250,1,1.29705
10000,250,1,1.31302
10000,250,1,1.30359
10000,256,1,1.329
10000,256,1,1.29187
10000,256,1,1.32009
10000,256,1,1.3919
10000,256,1,1.29831
