size,time,gflops
2000,0.061845,258.711483
2000,0.068090,234.983214
2000,0.069600,229.883700
2000,0.072604,220.374049
2000,0.071517,223.721830
2000,0.074650,214.332882
4000,0.278608,459.427379
4000,0.349225,366.526000
4000,0.383339,333.908353
4000,0.345859,370.093062
4000,0.415713,307.904849
4000,0.369604,346.316470
6000,0.996748,433.409527
6000,1.006275,429.306085
6000,0.917547,470.820711
6000,0.912201,473.579767
6000,0.909851,474.803196
6000,0.943411,457.912717
8000,2.086983,490.660446
8000,2.037666,502.535721
8000,2.042866,501.256583
8000,2.019765,506.989663
8000,2.029211,504.629565
8000,2.022641,506.268868
10000,3.847801,519.777423
10000,3.808706,525.112741
10000,3.803458,525.837345
10000,3.805388,525.570598
10000,3.798877,526.471307
10000,3.794339,527.100994
12000,4.431600,779.853751
12000,5.000008,691.198876
12000,6.290748,549.378254
12000,5.006782,690.263767
12000,6.336855,545.380915
12000,4.983675,693.464155
14000,6.337676,865.932512
14000,9.526788,576.059823
14000,9.468564,579.602137
14000,8.970776,611.764259
14000,9.515841,576.722569
14000,6.293009,872.078777
16000,8.706613,940.894019
16000,9.207492,889.710211
16000,7.372919,1111.093130
16000,9.250705,885.554127
16000,9.149112,895.387456
16000,9.274856,883.248226
18000,20.994173,555.582732
18000,21.014297,555.050690
18000,21.051931,554.058428
18000,21.066758,553.668479
18000,21.019381,554.916435
18000,21.023696,554.802549
20000,23.387955,684.112826
20000,22.788074,702.121656
20000,23.299043,686.723475
20000,24.419115,655.224391
20000,22.099183,724.008675
20000,24.682059,648.244135
22000,21.158054,1006.519807
22000,24.812291,858.284299
22000,20.313252,1048.379673
22000,21.078652,1010.311279
22000,20.435522,1042.106966
22000,21.104004,1009.097620
24000,43.700449,632.670846
24000,25.613218,1079.442653
24000,26.111741,1058.834040
24000,25.657623,1077.574484
24000,25.569762,1081.277184
24000,26.086302,1059.866575
26000,58.450307,601.399754
26000,56.897365,617.814202
26000,53.307004,659.425548
26000,57.182029,614.738589
26000,52.268059,672.533107
26000,56.211721,625.350006
28000,45.804493,958.508599
28000,44.390769,989.034459
28000,44.048276,996.724593
28000,44.245046,992.291890
28000,44.316909,990.682813
28000,45.824122,958.097998
30000,50.202788,1075.637469
