size,time,gflops
2000,0.044638,358.441190
2000,0.051889,308.349703
2000,0.053347,299.922358
2000,0.053159,300.984990
2000,0.046771,342.090742
2000,0.050149,319.051422
4000,0.272706,469.370397
4000,0.279968,457.195505
4000,0.285197,448.811886
4000,0.285159,448.872974
4000,0.292160,438.115669
4000,0.297614,430.087774
6000,0.882997,489.243121
6000,0.882630,489.446553
6000,0.884218,488.567418
6000,0.917039,471.081315
6000,0.888066,486.450278
6000,0.920267,469.429197
8000,1.940716,527.640263
8000,1.931991,530.023095
8000,1.906011,537.247626
8000,1.922141,532.739194
8000,1.963434,521.535244
8000,1.922206,532.721263
10000,3.230338,619.130236
10000,3.287385,608.386267
10000,3.296817,606.645757
10000,3.312103,603.845950
10000,3.310971,604.052337
10000,3.253075,614.802849
12000,5.165513,669.052673
12000,5.185454,666.479758
12000,5.230436,660.747917
12000,5.195728,665.161824
12000,5.183893,666.680444
12000,5.215597,662.627931
14000,7.364576,745.188849
14000,7.433853,738.244378
14000,7.320383,749.687548
14000,7.434318,738.198164
14000,7.365482,745.097159
14000,4.849509,1131.661022
16000,9.585768,854.600300
16000,9.496028,862.676443
16000,9.422038,869.451008
16000,9.534082,859.233192
16000,9.691608,845.267381
16000,9.568652,856.128933
18000,15.232378,765.737296
18000,15.278277,763.436890
18000,15.125589,771.143539
18000,15.132387,770.797084
18000,15.157610,769.514458
18000,14.848314,785.543724
20000,17.670005,905.489257
20000,17.485632,915.037002
20000,18.675505,856.737200
20000,18.852565,848.690894
20000,17.524272,913.019357
20000,18.759741,852.890221
22000,17.138012,1242.617872
22000,16.544352,1287.206672
22000,17.182314,1239.413960
22000,16.858537,1263.217557
22000,17.192910,1238.650131
22000,17.195418,1238.469428
24000,30.526939,905.691840
24000,30.612656,903.155882
24000,21.464345,1288.089625
24000,21.733521,1272.136263
24000,20.840398,1326.654134
24000,21.217959,1303.047098
26000,41.354950,850.007076
26000,40.395765,870.190232
26000,40.684752,864.009201
26000,40.830197,860.931437
26000,41.451034,848.036738
26000,41.299603,851.146202
28000,43.565796,1007.763069
28000,43.342516,1012.954567
28000,43.761746,1003.250643
28000,44.068972,996.256510
28000,43.982663,998.211509
28000,43.333646,1013.161925
30000,41.417109,1303.809006
