size,time,gflops
2000,0.026862,595.647293
2000,0.027707,577.480776
2000,0.026652,600.333988
2000,0.028332,564.738199
2000,0.028224,566.891014
2000,0.026743,598.280624
4000,0.104582,1223.921999
4000,0.112420,1138.586660
4000,0.111929,1143.584176
4000,0.117322,1091.011209
4000,0.117497,1089.393253
4000,0.118901,1076.526012
6000,0.250243,1726.323305
6000,0.251919,1714.835768
6000,0.285236,1514.535077
6000,0.273534,1579.330876
6000,0.279656,1544.752527
6000,0.266012,1623.988133
8000,0.763324,1341.501273
8000,0.777829,1316.484686
8000,0.754826,1356.604894
8000,0.798001,1283.206697
8000,0.774560,1322.041140
8000,0.773625,1323.639562
10000,1.817252,1100.563021
10000,1.825313,1095.702642
10000,1.828819,1093.601867
10000,1.830196,1092.778896
10000,1.826014,1095.281737
10000,1.840229,1086.821080
12000,3.066280,1127.098541
12000,3.077977,1122.815373
12000,3.052665,1132.125429
12000,3.047805,1133.930674
12000,3.025942,1142.123705
12000,3.071192,1125.295866
14000,4.350185,1261.555533
14000,4.366854,1256.740012
14000,4.392677,1249.352017
14000,4.435362,1237.328608
14000,4.428451,1239.259392
14000,4.366208,1256.925885
16000,6.206287,1319.951840
16000,6.181803,1325.179669
16000,6.179840,1325.600759
16000,5.467232,1498.381710
16000,6.180757,1325.404079
16000,6.142662,1333.623863
18000,7.903115,1475.873794
18000,7.861585,1483.670294
18000,8.006449,1456.825611
18000,7.896524,1477.105678
18000,7.920328,1472.666294
18000,7.946022,1467.904325
20000,8.317290,1923.703591
20000,8.258420,1937.416665
20000,8.805911,1816.961371
20000,9.774267,1636.951447
20000,9.336959,1713.620122
20000,8.277217,1933.016778
22000,14.208792,1498.790338
22000,12.207329,1744.525730
22000,11.670857,1824.716118
22000,12.537960,1698.521987
22000,14.272187,1492.132908
22000,14.035622,1517.282256
24000,15.055553,1836.398841
24000,15.107961,1830.028580
24000,15.076818,1833.808755
24000,15.013029,1841.600351
24000,15.049673,1837.116376
24000,17.279260,1600.068513
26000,21.769935,1614.703931
26000,21.015627,1672.660088
26000,21.614754,1626.296567
26000,21.926049,1603.207217
26000,21.350828,1646.399884
26000,20.364866,1726.110077
28000,23.536815,1865.333058
28000,23.149739,1896.522495
28000,23.975664,1831.190191
28000,20.453583,2146.518733
28000,24.851952,1766.621825
28000,22.455808,1955.128968
30000,22.475883,2402.575250
30000,21.718856,2486.318750
30000,21.756507,2482.016049
30000,24.461793,2207.524234
30000,25.015353,2158.674295
30000,23.328485,2314.766678
