size,time,gflops
2000,0.027759,576.394270
2000,0.028380,563.776672
2000,0.027459,582.690629
2000,0.028664,558.182969
2000,0.028268,566.003749
2000,0.028250,566.381545
4000,0.097788,1308.951828
4000,0.083938,1524.937742
4000,0.098049,1305.464149
4000,0.096738,1323.164839
4000,0.104711,1222.408065
4000,0.098758,1296.092059
6000,0.224605,1923.373298
6000,0.231840,1863.353209
6000,0.225209,1918.220778
6000,0.226697,1905.628369
6000,0.227075,1902.453326
6000,0.249289,1732.927997
8000,0.526735,1944.052434
8000,0.518863,1973.544627
8000,0.486209,2106.090075
8000,0.540961,1892.927401
8000,0.532325,1923.636088
8000,0.545939,1875.668156
10000,1.268530,1576.628452
10000,1.238985,1614.225121
10000,1.329695,1504.104161
10000,1.263505,1582.898052
10000,1.300215,1538.207092
10000,1.301489,1536.701634
12000,2.569977,1344.759156
12000,2.608452,1324.923690
12000,2.597243,1330.641699
12000,2.561778,1349.062849
12000,2.581955,1338.520459
12000,2.565887,1346.902600
14000,4.147151,1323.317952
14000,3.996181,1373.311171
14000,4.180602,1312.729586
14000,4.186461,1310.892425
14000,4.165140,1317.602743
14000,4.166936,1317.034856
16000,4.204784,1948.257245
16000,4.173676,1962.778352
16000,4.228733,1937.223392
16000,4.200253,1950.358689
16000,4.158318,1970.027109
16000,4.141799,1977.884385
18000,7.487016,1557.897000
18000,8.167364,1428.122907
18000,8.172177,1427.281783
18000,7.540665,1546.813270
18000,5.486140,2126.084955
18000,8.601576,1356.030539
20000,6.579872,2431.658297
20000,6.815241,2347.679175
20000,9.829581,1627.739719
20000,7.470219,2141.838020
20000,8.739930,1830.678200
20000,9.575866,1670.867106
22000,11.721791,1816.787270
22000,11.720797,1816.941320
22000,9.285403,2293.492312
22000,11.602449,1835.474615
22000,11.726170,1816.108715
22000,11.775624,1808.481694
24000,18.421503,1500.854704
24000,18.435811,1499.689961
24000,18.469152,1496.982652
24000,18.440529,1499.306234
24000,20.143194,1372.572819
24000,19.918532,1388.054127
26000,24.238956,1450.227460
26000,25.253877,1391.944713
26000,23.083593,1522.813191
26000,25.493540,1378.859105
26000,25.006633,1405.707024
26000,25.426682,1382.484732
28000,27.570272,1592.439837
28000,22.383799,1961.418575
28000,20.983058,2092.354696
28000,22.103817,1986.263234
28000,22.224026,1975.519681
28000,22.340087,1965.256408
30000,23.133434,2334.283826
30000,22.264981,2425.333357
30000,24.635399,2191.967730
30000,23.124609,2335.174603
30000,24.118664,2238.929950
30000,23.047105,2343.027477
