size,time,gflops
2000,0.027986,571.709648
2000,0.029714,538.463382
2000,0.030833,518.926683
2000,0.030961,516.786668
2000,0.030634,522.289692
2000,0.030622,522.497996
4000,0.135591,944.013008
4000,0.138325,925.359511
4000,0.149667,855.232925
4000,0.148893,859.679222
4000,0.148533,861.763384
4000,0.152059,841.776389
6000,0.355630,1214.744935
6000,0.359678,1201.075523
6000,0.361463,1195.144159
6000,0.369870,1167.978488
6000,0.369935,1167.771896
6000,0.368816,1171.315842
8000,0.842786,1215.018457
8000,0.845809,1210.675839
8000,0.828036,1236.660714
8000,0.858001,1193.471419
8000,0.846316,1209.949693
8000,0.835800,1225.174111
10000,1.640799,1218.918187
10000,1.637350,1221.485706
10000,1.637406,1221.444233
10000,1.663948,1201.960588
10000,1.635671,1222.740093
10000,1.660130,1204.725031
12000,2.612671,1322.784484
12000,2.617436,1320.376024
12000,2.602318,1328.046754
12000,2.622759,1317.696595
12000,2.614346,1321.936976
12000,2.612970,1322.632841
14000,3.838574,1429.697697
14000,3.808679,1440.919613
14000,3.806507,1441.741900
14000,3.804787,1442.393475
14000,3.810684,1440.161289
14000,3.801572,1443.613426
16000,3.906769,2096.873436
16000,3.776477,2169.217507
16000,3.950714,2073.549282
16000,5.300642,1545.473088
16000,5.350838,1530.975029
16000,3.791841,2160.428037
18000,7.084712,1646.361979
18000,6.807959,1713.288883
18000,6.755419,1726.613863
18000,6.745400,1729.178318
18000,6.792145,1717.277762
18000,6.858924,1700.558186
20000,8.241019,1941.507552
20000,8.572658,1866.398959
20000,8.666960,1846.091459
20000,8.148599,1963.527653
20000,8.126120,1968.959348
20000,8.490678,1884.419637
22000,10.459963,2035.953649
22000,10.416789,2044.391944
22000,9.897946,2151.557549
22000,10.364424,2054.721014
22000,10.643495,2000.846536
22000,10.666915,1996.453603
24000,13.930711,1984.679703
24000,14.357274,1925.713792
24000,14.116107,1958.613597
24000,14.002597,1974.490898
24000,14.764798,1872.562082
24000,14.821084,1865.450646
26000,17.841753,1970.210041
26000,18.613859,1888.485304
26000,18.564959,1893.459620
26000,18.438179,1906.478978
26000,18.555995,1894.374300
26000,18.649011,1884.925673
28000,19.929076,2203.012334
28000,20.297054,2163.072583
28000,20.586240,2132.686718
28000,19.277423,2277.482891
28000,19.139535,2293.890684
28000,19.619194,2237.808493
30000,20.060028,2691.920433
30000,22.258616,2426.026833
30000,20.540918,2628.899119
30000,21.855848,2470.734608
30000,21.269982,2538.789193
30000,20.686994,2610.335716
