size,time,gflops
2000,0.032628,490.369526
2000,0.032613,490.602810
2000,0.032285,495.588780
2000,0.032481,492.593685
2000,0.031399,509.563926
2000,0.032320,495.052032
4000,0.154014,831.091200
4000,0.154651,827.667919
4000,0.153961,831.381827
4000,0.153814,832.171912
4000,0.153671,832.945715
4000,0.152886,837.225960
6000,0.400982,1077.354594
6000,0.403164,1071.525360
6000,0.401083,1077.084155
6000,0.401234,1076.679394
6000,0.402173,1074.165656
6000,0.401352,1076.362248
8000,0.890119,1150.407757
8000,0.891273,1148.918455
8000,0.899481,1138.433960
8000,0.888736,1152.197755
8000,0.890299,1150.175117
8000,0.891525,1148.593268
10000,1.653587,1209.492045
10000,1.647641,1213.856852
10000,1.660254,1204.635022
10000,1.645578,1215.378083
10000,1.655061,1208.414498
10000,1.648696,1213.079587
12000,2.918728,1184.077438
12000,2.925959,1181.151139
12000,2.940500,1175.310497
12000,2.923450,1182.164912
12000,2.934580,1177.681394
12000,2.923236,1182.251652
14000,4.455394,1231.765349
14000,4.467053,1228.550439
14000,4.425878,1239.979897
14000,4.446327,1234.277323
14000,4.426321,1239.855973
14000,4.423177,1240.737068
16000,6.666876,1228.761331
16000,6.631621,1235.293763
16000,6.694724,1223.650074
16000,6.657596,1230.474222
16000,6.627629,1236.037726
16000,6.657181,1230.550799
18000,9.421992,1237.954798
18000,9.447019,1234.675181
18000,9.419933,1238.225421
18000,9.387364,1242.521272
18000,9.423634,1237.739129
18000,9.432057,1236.633703
20000,12.667050,1263.119655
20000,12.617864,1268.043511
20000,12.667262,1263.098540
20000,12.751466,1254.757648
20000,12.641970,1265.625498
20000,12.651044,1264.717780
22000,16.770543,1269.845586
22000,16.704749,1274.847023
22000,16.583071,1284.201201
22000,16.634110,1280.260825
22000,16.656166,1278.565510
22000,16.609062,1282.191590
24000,21.562555,1282.222810
24000,21.749286,1271.214133
24000,21.565323,1282.058263
24000,21.702196,1273.972480
24000,22.096279,1251.251422
24000,21.753831,1270.948556
26000,27.045668,1299.727552
26000,27.173703,1293.603584
26000,27.015467,1301.180552
26000,27.223051,1291.258652
26000,27.058913,1299.091352
26000,27.125388,1295.907742
28000,33.235680,1320.989991
28000,33.235995,1320.977433
28000,33.737293,1301.349240
28000,33.286972,1318.954463
28000,33.203886,1322.254885
28000,33.372210,1315.585630
30000,40.502149,1333.262585
30000,40.442444,1335.230892
30000,41.026514,1316.221989
30000,40.391320,1336.920895
30000,40.762822,1324.736561
30000,40.481368,1333.947027
