size,time,gflops
2000,0.026360,606.985730
2000,0.024574,651.100826
2000,0.023849,670.896445
2000,0.021667,738.441760
2000,0.021470,745.209410
2000,0.024543,651.904745
4000,0.121651,1052.194226
4000,0.121577,1052.833375
4000,0.121513,1053.381828
4000,0.120739,1060.138686
4000,0.121543,1053.124963
4000,0.121414,1054.242672
6000,0.310864,1389.676287
6000,0.310632,1390.713830
6000,0.309537,1395.632463
6000,0.311121,1388.528213
6000,0.310690,1390.453328
6000,0.311022,1388.970528
8000,0.675933,1514.943170
8000,0.675975,1514.849717
8000,0.676454,1513.777336
8000,0.676720,1513.181377
8000,0.676377,1513.947814
8000,0.676284,1514.155966
10000,1.323879,1510.711848
10000,1.324679,1509.799621
10000,1.321668,1513.238859
10000,1.314555,1521.427786
10000,1.323383,1511.278090
10000,1.324696,1509.780557
12000,2.204739,1567.532210
12000,2.205748,1566.815577
12000,2.204714,1567.550351
12000,2.203235,1568.602285
12000,2.204299,1567.845261
12000,2.203348,1568.521912
14000,3.476541,1578.580460
14000,3.474792,1579.374893
14000,3.479733,1577.132281
14000,3.478894,1577.512739
14000,3.478958,1577.483649
14000,3.480169,1576.934894
16000,5.145714,1592.004550
16000,5.142040,1593.142051
16000,5.148670,1591.090437
16000,5.147597,1591.422283
16000,5.150217,1590.612488
16000,5.145622,1592.032850
18000,7.262459,1606.067605
18000,7.257160,1607.240258
18000,7.255259,1607.661493
18000,7.263337,1605.873551
18000,7.259007,1606.831335
18000,7.256898,1607.298369
20000,10.025122,1595.990618
20000,10.027624,1595.592406
20000,10.034200,1594.546635
20000,10.030128,1595.194042
20000,10.034081,1594.565589
20000,10.029696,1595.262764
22000,13.346970,1595.568152
22000,13.382182,1591.369805
22000,13.343183,1596.021016
22000,13.348555,1595.378681
22000,13.355586,1594.538741
22000,13.365430,1593.364321
24000,17.119856,1614.966847
24000,17.085578,1618.206866
24000,17.140438,1613.027636
24000,17.116148,1615.316686
24000,17.101345,1616.714929
24000,17.142586,1612.825522
26000,21.739756,1616.945461
26000,21.748094,1616.325541
26000,21.751315,1616.086212
26000,21.753305,1615.938360
26000,21.785830,1613.525844
26000,21.748208,1616.317058
28000,27.276189,1609.609045
28000,27.272256,1609.841127
28000,27.259114,1610.617259
28000,27.252128,1611.030167
28000,27.266496,1610.181209
28000,27.270330,1609.954869
30000,33.585250,1607.848695
30000,33.553865,1609.352623
30000,33.543627,1609.843802
30000,33.566659,1608.739173
30000,33.570078,1608.575327
30000,33.553533,1609.368541
