size,time,gflops
2000,0.032074,498.844038
2000,0.032438,493.246287
2000,0.032221,496.572948
2000,0.032371,494.273166
2000,0.031878,501.918017
2000,0.031798,503.168657
4000,0.129797,986.153473
4000,0.130382,981.728310
4000,0.129857,985.702835
4000,0.129713,986.792796
4000,0.129591,987.723469
4000,0.130786,978.697667
6000,0.351310,1229.681492
6000,0.350262,1233.363571
6000,0.351556,1228.822856
6000,0.350639,1232.036695
6000,0.350584,1232.229011
6000,0.349963,1234.416827
8000,0.721938,1418.405239
8000,0.723107,1416.112217
8000,0.727219,1408.104804
8000,0.722051,1418.181494
8000,0.721232,1419.791850
8000,0.719990,1422.241284
10000,1.435938,1392.818050
10000,1.428642,1399.930540
10000,1.421632,1406.834119
10000,1.429682,1398.912299
10000,1.433032,1395.641950
10000,1.434500,1394.213998
12000,2.340650,1476.512973
12000,2.321402,1488.755805
12000,2.320582,1489.281321
12000,2.326657,1485.393286
12000,2.335807,1479.574440
12000,2.317726,1491.116959
14000,3.789584,1448.179897
14000,3.820199,1436.574404
14000,3.801522,1443.632394
14000,3.785632,1449.691707
14000,3.792988,1446.880311
14000,3.834578,1431.187500
16000,5.483568,1493.917936
16000,5.506899,1487.588480
16000,5.496893,1490.296493
16000,5.486359,1493.157812
16000,5.509123,1486.988112
16000,5.538909,1478.991663
18000,7.708556,1513.123831
18000,7.738218,1507.323872
18000,7.680007,1518.748687
18000,7.656987,1523.314612
18000,7.694112,1515.964511
18000,7.675690,1519.602851
20000,10.751224,1488.202596
20000,10.741750,1489.515231
20000,10.791772,1482.610990
20000,10.796666,1481.938969
20000,10.722922,1492.130555
20000,10.666351,1500.044430
22000,14.120035,1508.211593
22000,14.018731,1519.110411
22000,13.958701,1525.643343
22000,13.935774,1528.153367
22000,14.075788,1512.952624
22000,14.071287,1513.436573
24000,18.564323,1489.308259
24000,18.659636,1481.700892
24000,18.530399,1492.034818
24000,18.627093,1484.289578
24000,18.644184,1482.928979
24000,18.945624,1459.334381
26000,23.094747,1522.077752
26000,23.421843,1500.821280
26000,23.052681,1524.855201
26000,23.092049,1522.255566
26000,23.418186,1501.055605
26000,23.119457,1520.450960
28000,29.665223,1479.982112
28000,30.959840,1418.095201
28000,29.743404,1476.091959
28000,29.764092,1475.065976
28000,29.592190,1483.634695
28000,29.617338,1482.374970
30000,35.672091,1513.788466
30000,35.609484,1516.449926
30000,35.809866,1507.964331
30000,35.622376,1515.901138
30000,35.804030,1508.210104
30000,35.803790,1508.220233
