size,time,gflops
2000,0.016333,979.625084
2000,0.016423,974.227482
2000,0.017717,903.097421
2000,0.015291,1046.385826
2000,0.017382,920.500301
2000,0.017447,917.037350
4000,0.092636,1381.752563
4000,0.093101,1374.855782
4000,0.090191,1419.206881
4000,0.093455,1369.648669
4000,0.093499,1369.003372
4000,0.093347,1371.232867
6000,0.228421,1891.247358
6000,0.227016,1902.950309
6000,0.228843,1887.760573
6000,0.227681,1897.392993
6000,0.226947,1903.532255
6000,0.227020,1902.913402
8000,0.492009,2081.261193
8000,0.490894,2085.989222
8000,0.490698,2086.822579
8000,0.492510,2079.146851
8000,0.489822,2090.557304
8000,0.491347,2084.068626
10000,0.912854,2190.931607
10000,0.912843,2190.956962
10000,0.914928,2185.963887
10000,0.914118,2187.901475
10000,0.913694,2188.917282
10000,0.916103,2183.161619
12000,1.504886,2296.518816
12000,1.508569,2290.913198
12000,1.506016,2294.795883
12000,1.510665,2287.733851
12000,1.511286,2286.793434
12000,1.509420,2289.620926
14000,2.393310,2293.058745
14000,2.383177,2302.808264
14000,2.375172,2310.569394
14000,2.389020,2297.176132
14000,2.375395,2310.352992
14000,2.385314,2300.745313
16000,3.609062,2269.842044
16000,3.637053,2252.373123
16000,3.612475,2267.697236
16000,3.611320,2268.422547
16000,3.657508,2239.776404
16000,3.576721,2290.365709
18000,5.127522,2274.782999
18000,5.120121,2278.071008
18000,5.154233,2262.994453
18000,5.132719,2272.479764
18000,5.151218,2264.318823
18000,5.125984,2275.465698
20000,6.881424,2325.100143
20000,6.881985,2324.910721
20000,6.836264,2340.459559
20000,6.821456,2345.540356
20000,6.825513,2344.146139
20000,6.804655,2351.331573
22000,9.207080,2313.002606
22000,9.194942,2316.056044
22000,9.229324,2307.427847
22000,9.198419,2315.180439
22000,9.233022,2306.503665
22000,9.179688,2319.904670
24000,11.930244,2317.471527
24000,11.833040,2336.508535
24000,11.832713,2336.573218
24000,11.901604,2323.048307
24000,11.800600,2342.931650
24000,11.830571,2336.996231
26000,15.283064,2300.062323
26000,15.267913,2302.344737
26000,15.184979,2314.919161
26000,15.249351,2305.147344
26000,14.882195,2362.017093
26000,15.292339,2298.667319
28000,18.971287,2314.234091
28000,18.508552,2372.092599
28000,18.821596,2332.639636
28000,18.766791,2339.451580
28000,18.833091,2331.215873
28000,18.786593,2336.985682
30000,22.813191,2367.051578
30000,22.757504,2372.843692
30000,22.676960,2381.271608
30000,22.538737,2395.875167
30000,22.555099,2394.137119
30000,22.452594,2405.067293
