size,time,gflops
2000,0.015256,1048.738551
2000,0.016336,979.454113
2000,0.015825,1011.085286
2000,0.015783,1013.725463
2000,0.017203,930.093152
2000,0.015011,1065.918463
4000,0.067859,1886.252241
4000,0.058713,2180.093505
4000,0.065346,1958.812718
4000,0.056337,2272.049773
4000,0.063219,2024.702413
4000,0.060961,2099.706292
6000,0.182393,2368.511222
6000,0.182682,2364.765403
6000,0.182747,2363.921191
6000,0.182647,2365.212624
6000,0.155859,2771.728754
6000,0.182782,2363.467360
8000,0.377724,2710.972342
8000,0.377453,2712.921447
8000,0.376514,2719.686950
8000,0.377076,2715.632044
8000,0.377079,2715.608458
8000,0.376645,2718.738726
10000,0.679246,2944.440933
10000,0.680466,2939.162245
10000,0.678515,2947.615215
10000,0.680022,2941.081071
10000,0.680474,2939.126408
10000,0.678786,2946.437061
12000,1.142102,3026.000677
12000,1.144846,3018.747048
12000,1.143123,3023.296161
12000,1.154257,2994.135144
12000,1.140960,3029.029012
12000,1.152966,2997.486506
14000,1.780755,3081.838800
14000,1.783849,3076.493696
14000,1.783429,3077.217409
14000,1.783953,3076.314917
14000,1.779811,3083.474298
14000,1.781801,3080.030463
16000,2.632788,3111.530356
16000,2.628637,3116.443961
16000,2.630981,3113.667306
16000,2.631737,3112.772872
16000,2.632046,3112.407234
16000,2.632775,3111.545918
18000,3.720327,3135.208346
18000,3.728676,3128.188209
18000,3.725171,3131.131485
18000,3.732464,3125.013568
18000,3.734299,3123.477496
18000,3.724346,3131.824805
20000,5.176581,3090.843073
20000,5.161944,3099.607319
20000,5.157246,3102.431206
20000,5.177511,3090.287989
20000,5.174466,3092.106260
20000,5.170320,3094.586297
22000,6.785273,3138.561966
22000,6.775522,3143.078709
22000,6.773279,3144.119507
22000,6.800066,3131.734228
22000,6.788148,3137.232915
22000,6.780977,3140.550258
24000,8.809574,3138.403758
24000,8.814395,3136.687311
24000,8.788018,3146.101752
24000,8.787388,3146.327377
24000,8.819268,3134.953905
24000,8.812674,3137.299670
26000,11.188641,3141.757795
26000,11.210624,3135.597007
26000,11.232601,3129.462081
26000,11.194944,3139.988997
26000,11.202956,3137.743261
26000,11.201320,3138.201472
28000,13.944934,3148.383594
28000,13.976593,3141.251986
28000,13.924814,3152.932689
28000,13.967006,3143.408113
28000,13.924872,3152.919411
28000,13.933225,3151.029298
30000,17.202397,3139.097477
30000,17.230212,3134.029868
30000,17.197833,3139.930463
30000,17.201942,3139.180530
30000,17.214012,3136.979273
30000,17.216476,3136.530310
