size,time,gflops
2000,0.013464,1188.324651
2000,0.015813,1011.847021
2000,0.014879,1075.317019
2000,0.015090,1060.292401
2000,0.015659,1021.798474
2000,0.017060,937.842826
4000,0.081902,1562.844047
4000,0.082487,1551.758147
4000,0.082337,1554.580653
4000,0.083070,1540.860262
4000,0.082429,1552.850057
4000,0.082549,1550.598024
6000,0.191122,2260.334615
6000,0.190577,2266.804043
6000,0.189911,2274.749871
6000,0.188705,2289.283715
6000,0.189920,2274.640517
6000,0.191364,2257.473814
8000,0.370774,2761.792749
8000,0.371729,2754.692677
8000,0.374449,2734.686788
8000,0.371208,2758.561156
8000,0.370942,2760.539800
8000,0.371060,2759.664411
10000,0.693277,2884.849338
10000,0.692627,2887.556529
10000,0.692504,2888.068860
10000,0.692024,2890.075227
10000,0.705873,2833.370904
10000,0.693013,2885.947845
12000,1.190314,2903.435862
12000,1.190026,2904.139168
12000,1.188797,2907.140981
12000,1.189489,2905.448489
12000,1.188784,2907.173391
12000,1.193364,2896.015924
14000,1.829716,2999.373115
14000,1.825806,3005.795933
14000,1.826077,3005.349221
14000,1.825035,3007.064946
14000,1.828896,3000.717839
14000,1.822455,3011.322355
16000,2.668015,3070.448031
16000,2.698480,3035.783601
16000,2.669549,3068.683358
16000,2.699830,3034.264825
16000,2.674111,3063.448111
16000,2.684689,3051.377909
18000,3.800566,3069.016301
18000,3.807597,3063.349551
18000,3.806131,3064.529181
18000,3.806858,3063.944404
18000,3.806107,3064.549022
18000,3.802200,3067.697687
20000,5.214533,3068.347764
20000,5.251992,3046.462959
20000,5.211157,3070.335219
20000,5.242370,3052.054877
20000,5.217128,3066.821248
20000,5.225567,3061.868843
22000,7.011597,3037.253657
22000,7.029330,3029.591785
22000,7.010694,3037.645246
22000,7.035617,3026.884496
22000,6.978630,3051.601747
22000,7.011453,3037.316189
24000,8.985960,3076.799827
24000,8.968358,3082.838574
24000,8.999951,3072.016580
24000,9.013065,3067.546915
24000,8.992397,3074.597421
24000,9.024259,3063.741987
26000,11.442445,3072.070705
26000,11.415273,3079.383143
26000,11.387499,3086.893689
26000,11.400381,3083.405678
26000,11.438825,3073.042948
26000,11.400428,3083.393126
28000,14.167177,3098.994291
28000,14.262411,3078.301376
28000,14.210954,3089.447718
28000,14.199062,3092.035129
28000,14.240884,3082.954587
28000,14.196209,3092.656564
30000,17.553044,3076.389551
30000,17.470185,3090.980446
30000,17.498511,3085.976928
30000,17.580297,3071.620488
30000,17.466997,3091.544612
30000,17.542044,3078.318527
