cores,size,time,gflops
1,10000,42.047436,47.565326
1,10000,41.875991,47.760063
1,10000,41.747563,47.906988
1,10000,42.219576,47.371390
1,10000,41.994955,47.624768
2,10000,21.596533,92.607455
2,10000,21.735377,92.015888
2,10000,21.569401,92.723947
2,10000,21.607469,92.560586
2,10000,21.640187,92.420643
4,10000,11.672832,171.338033
4,10000,11.709372,170.803349
4,10000,11.709522,170.801169
4,10000,11.709637,170.799481
4,10000,11.749646,170.217889
8,10000,5.816874,343.827294
8,10000,5.729903,349.046075
8,10000,5.766112,346.854191
8,10000,5.734877,348.743304
8,10000,5.883111,339.956197
16,10000,2.913692,686.414235
16,10000,2.981885,670.716723
16,10000,2.997111,667.309343
16,10000,2.905763,688.287364
16,10000,2.962132,675.189439
32,10000,2.197843,909.983280
32,10000,2.292409,872.444657
32,10000,2.285292,875.161539
32,10000,2.286838,874.570120
32,10000,2.179012,917.847228
64,10000,2.253538,887.493202
64,10000,2.379402,840.547309
64,10000,2.392399,835.980891
64,10000,2.385585,838.368624
64,10000,2.250298,888.771297
128,10000,3.181969,628.541628
128,10000,3.099325,645.301763
128,10000,3.130676,638.839652
128,10000,3.152136,634.490296
128,10000,3.179305,629.068370
