cores,size,time,gflops
1,10000,43.360699,46.124718
1,10000,43.488301,45.989380
1,10000,43.210956,46.284559
1,10000,43.405142,46.077490
1,10000,43.252181,46.240442
2,10000,22.164629,90.233859
2,10000,22.022589,90.815843
2,10000,22.099432,90.500062
2,10000,21.965178,91.053213
2,10000,22.027690,90.794812
4,10000,11.241639,177.909998
4,10000,11.223386,178.199338
4,10000,11.239911,177.937352
4,10000,11.248270,177.805113
4,10000,11.234324,178.025845
8,10000,5.893467,339.358797
8,10000,5.892970,339.387431
8,10000,5.911482,338.324625
8,10000,5.930402,337.245256
8,10000,5.916145,338.057991
16,10000,3.852591,519.131134
16,10000,3.860400,518.080973
16,10000,3.840515,520.763443
16,10000,3.843657,520.337799
16,10000,3.857614,518.455162
32,10000,3.469598,576.435719
32,10000,3.452307,579.322821
32,10000,3.066977,652.108024
32,10000,3.068761,651.728818
32,10000,3.062615,653.036599
64,10000,3.615196,553.220276
64,10000,3.597513,555.939662
64,10000,2.866507,697.713189
64,10000,2.867639,697.437765
64,10000,2.890412,691.942997
128,10000,3.851012,519.343949
128,10000,3.832628,521.835112
128,10000,3.828318,522.422707
128,10000,3.842980,520.429478
128,10000,3.828631,522.379877
