cores,size,time,gflops
1,10000,42.499464,47.059417
1,10000,42.403236,47.166211
1,10000,42.476591,47.084757
1,10000,42.269946,47.314941
1,10000,42.575960,46.974866
2,10000,21.720315,92.079695
2,10000,21.945571,91.134561
2,10000,21.853084,91.520265
2,10000,21.933155,91.186152
2,10000,21.790064,91.784951
4,10000,10.716846,186.622076
4,10000,10.694798,187.006807
4,10000,10.695863,186.988186
4,10000,10.692688,187.043714
4,10000,10.711921,186.707873
8,10000,5.566687,359.280126
8,10000,5.443148,367.434464
8,10000,5.474339,365.340915
8,10000,5.512430,362.816388
8,10000,5.445500,367.275752
16,10000,2.893427,691.221924
16,10000,2.893899,691.109090
16,10000,2.912660,686.657631
16,10000,2.886767,692.816596
16,10000,2.910341,687.204647
32,10000,2.240544,892.640455
32,10000,2.096877,953.799224
32,10000,2.243647,891.405970
32,10000,2.245252,890.768805
32,10000,2.218024,901.703318
64,10000,2.174013,919.957644
64,10000,2.257604,885.894791
64,10000,2.322422,861.169911
64,10000,2.240515,892.651867
64,10000,2.263019,883.774982
128,10000,3.288354,608.207115
128,10000,3.301354,605.812118
128,10000,3.295109,606.960199
128,10000,3.320133,602.385481
128,10000,3.325538,601.406372
