cores,size,time,gflops
1,10000,20.458921,97.756865
1,10000,20.524243,97.445739
1,10000,20.507581,97.524912
1,10000,20.548393,97.331211
1,10000,20.512465,97.501690
2,10000,10.519411,190.124706
2,10000,10.497555,190.520562
2,10000,10.503228,190.417644
2,10000,10.502844,190.424620
2,10000,10.491579,190.629069
4,10000,5.409852,369.695870
4,10000,5.411782,369.564036
4,10000,5.419438,369.041974
4,10000,5.413606,369.439553
4,10000,5.417973,369.141755
8,10000,2.709663,738.099177
8,10000,2.686574,744.442437
8,10000,2.700382,740.635933
8,10000,2.691124,743.183865
8,10000,2.714180,736.870711
16,10000,1.443711,1385.318885
16,10000,1.451567,1377.821054
16,10000,1.444813,1384.262646
16,10000,1.443928,1385.111003
16,10000,1.446143,1382.989059
32,10000,1.193998,1675.044302
32,10000,1.192128,1677.672609
32,10000,1.193691,1675.475924
32,10000,1.191415,1678.676285
32,10000,1.194209,1674.748913
64,10000,1.335152,1497.956862
64,10000,1.330821,1502.832178
64,10000,1.323798,1510.804549
64,10000,1.333407,1499.916932
64,10000,1.315624,1520.191138
128,10000,1.879394,1064.172677
128,10000,1.869647,1069.720741
128,10000,1.859283,1075.683536
128,10000,1.866761,1071.374385
128,10000,1.896466,1054.593276
