cores,size,time,gflops
1,10000,32.040365,62.421261
1,10000,32.063416,62.376385
1,10000,31.954137,62.589704
1,10000,32.458189,61.617733
1,10000,32.457306,61.619408
2,10000,16.789462,119.122340
2,10000,16.793283,119.095232
2,10000,16.961152,117.916517
2,10000,16.980066,117.785172
2,10000,16.888270,118.425391
4,10000,11.155372,179.285825
4,10000,11.181094,178.873371
4,10000,11.087573,180.382134
4,10000,11.184266,178.822636
4,10000,11.134252,179.625898
8,10000,4.446625,449.779343
8,10000,4.467295,447.698258
8,10000,4.472589,447.168276
8,10000,4.421083,452.377890
8,10000,4.445952,449.847411
16,10000,2.631652,759.978839
16,10000,2.645186,756.090633
16,10000,2.647697,755.373327
16,10000,2.652395,754.035430
16,10000,2.659303,752.076798
32,10000,1.656644,1207.260077
32,10000,1.683517,1187.989125
32,10000,1.685536,1186.566196
32,10000,1.703059,1174.357347
32,10000,1.671444,1196.570502
64,10000,1.592013,1256.270880
64,10000,1.571852,1272.384574
64,10000,1.574227,1270.464826
64,10000,1.572766,1271.644754
64,10000,1.586891,1260.326101
128,10000,1.275894,1567.528898
128,10000,1.344456,1487.590904
128,10000,1.337756,1495.040404
128,10000,1.214152,1647.240177
128,10000,1.312215,1524.140048
