cores,size,time,gflops
1,10000,20.949377,95.468232
1,10000,20.549456,97.326175
1,10000,20.581021,97.176909
1,10000,20.535714,97.391307
1,10000,20.497722,97.571817
2,10000,10.529123,189.949340
2,10000,10.513200,190.237040
2,10000,10.432607,191.706636
2,10000,10.434259,191.676276
2,10000,10.400950,192.290128
4,10000,5.245416,381.285310
4,10000,5.242936,381.465659
4,10000,5.196718,384.858300
4,10000,5.252268,380.787898
4,10000,5.244417,381.357960
8,10000,2.703479,739.787476
8,10000,2.719398,735.456925
8,10000,2.693654,742.485775
8,10000,2.712879,737.224304
8,10000,2.695149,742.074092
16,10000,1.397172,1431.462939
16,10000,1.391202,1437.605528
16,10000,1.400095,1428.474460
16,10000,1.397377,1431.252698
16,10000,1.400458,1428.103747
32,10000,0.917527,2179.772198
32,10000,0.919675,2174.681540
32,10000,0.920883,2171.827789
32,10000,0.944106,2118.406474
32,10000,0.922278,2168.543431
64,10000,1.106361,1807.728541
64,10000,1.121475,1783.365150
64,10000,1.110717,1800.639162
64,10000,1.144119,1748.069355
64,10000,1.135695,1761.036290
128,10000,1.675081,1193.972070
128,10000,1.662456,1203.039054
128,10000,1.667400,1199.472118
128,10000,1.663716,1202.128004
128,10000,1.654043,1209.158573
