cores,size,time,gflops
1,20000,252.619695,63.336313
1,20000,252.559102,63.351508
2,20000,128.103951,124.898567
2,20000,129.396023,123.651405
4,20000,99.948449,160.082525
4,20000,97.149549,164.694538
8,20000,42.755644,374.219602
8,20000,42.201007,379.137876
16,20000,22.241710,719.369150
16,20000,21.635288,739.532577
32,20000,11.493990,1392.031836
32,20000,11.747457,1361.996915
64,20000,8.980339,1781.669842
64,20000,7.056915,2267.279627
128,20000,7.595501,2106.510042
128,20000,7.245358,2208.310608
