cores,size,time,gflops
1,10000,41.477313,48.219132
1,10000,42.176175,47.420137
1,10000,42.043839,47.569395
1,10000,41.374085,48.339438
1,10000,41.631597,48.040434
2,10000,21.352134,93.667451
2,10000,21.522700,92.925145
2,10000,21.561631,92.757363
2,10000,21.494942,93.045144
2,10000,22.625614,88.395390
4,10000,11.434817,174.904419
4,10000,11.296599,177.044431
4,10000,11.077197,180.551086
4,10000,11.194066,178.666087
4,10000,11.080121,180.503446
8,10000,5.619913,355.877399
8,10000,5.528605,361.754938
8,10000,5.540139,361.001768
8,10000,5.485855,364.574000
8,10000,5.696636,351.084422
16,10000,2.904550,688.574817
16,10000,2.902947,688.954962
16,10000,2.901372,689.329164
16,10000,2.895868,690.639184
16,10000,2.908919,687.540532
32,10000,2.318536,862.613279
32,10000,2.205316,906.899653
32,10000,2.329993,858.371616
32,10000,2.177536,918.469378
32,10000,2.337086,855.766360
64,10000,2.273052,879.874139
64,10000,2.286159,874.829849
64,10000,2.155682,927.780676
64,10000,2.276996,878.350332
64,10000,2.277751,878.058964
