cores,size,time,gflops
1,10000,46.689231,42.836431
1,10000,46.697163,42.829155
1,10000,46.641919,42.879883
1,10000,46.599687,42.918744
1,10000,46.609558,42.909654
2,10000,23.859261,83.824894
2,10000,24.281908,82.365851
2,10000,24.193242,82.667712
2,10000,24.057570,83.133915
2,10000,24.256790,82.451142
4,10000,12.018933,166.404119
4,10000,12.072844,165.661051
4,10000,12.028452,166.272434
4,10000,11.966511,167.133098
4,10000,12.432613,160.867224
8,10000,5.917258,337.994364
8,10000,5.952817,335.975406
8,10000,6.088594,328.483038
8,10000,5.946743,336.318541
8,10000,5.986446,334.088046
16,10000,3.440365,581.333597
16,10000,3.366663,594.060085
16,10000,3.421320,584.569663
16,10000,3.395769,588.968204
16,10000,3.414530,585.732150
32,10000,3.075068,650.392032
32,10000,3.488915,573.244138
32,10000,3.373352,592.882165
32,10000,3.483266,574.173769
32,10000,3.081317,649.073160
64,10000,3.098625,645.447597
64,10000,3.141691,636.599827
64,10000,3.047863,656.197490
64,10000,3.046218,656.551809
64,10000,3.070124,651.439425
