cores,size,time,gflops
1,10000,42.093543,47.513226
1,10000,42.213331,47.378398
1,10000,42.024575,47.591201
1,10000,42.216035,47.375363
1,10000,42.239177,47.349407
2,10000,22.705239,88.085399
2,10000,22.969199,87.073126
2,10000,21.433306,93.312715
2,10000,21.681364,92.245118
2,10000,21.778433,91.833973
4,10000,11.355962,176.118940
4,10000,11.237140,177.981237
4,10000,11.124113,179.789622
4,10000,11.172235,179.015208
4,10000,11.037440,181.201441
8,10000,5.553796,360.114081
8,10000,5.558786,359.790779
8,10000,5.670672,352.691864
8,10000,5.552905,360.171851
8,10000,5.852898,341.711072
16,10000,3.008918,664.690655
16,10000,2.991861,668.480238
16,10000,2.940620,680.128626
16,10000,2.947607,678.516586
16,10000,2.937368,680.881545
32,10000,2.646588,755.689955
32,10000,2.654372,753.474017
32,10000,2.670916,748.806879
32,10000,2.325918,859.875430
32,10000,2.354334,849.497276
64,10000,3.295951,606.805073
64,10000,2.726000,733.675796
64,10000,2.658594,752.277346
64,10000,2.781097,719.140563
64,10000,2.654455,753.450301
