cores,size,time,gflops
1,10000,20.531174,97.412841
1,10000,20.571830,97.220323
1,10000,21.398550,93.464278
1,10000,20.489802,97.609533
1,10000,20.503126,97.546101
2,10000,10.624705,188.240514
2,10000,10.519839,190.116985
2,10000,10.592807,188.807359
2,10000,10.528570,189.959318
2,10000,10.512595,190.247985
4,10000,5.370772,372.385937
4,10000,5.380032,371.745011
4,10000,5.385664,371.356263
4,10000,5.328013,375.374474
4,10000,5.394355,370.757983
8,10000,2.721641,734.850814
8,10000,2.724841,733.987684
8,10000,2.713948,736.933772
8,10000,2.716825,736.153433
8,10000,2.715339,736.556230
16,10000,1.465050,1365.140792
16,10000,1.459524,1370.310166
16,10000,1.463462,1366.622069
16,10000,1.452016,1377.395056
16,10000,1.467049,1363.280629
32,10000,1.334254,1498.965210
32,10000,1.294854,1544.575212
32,10000,1.295230,1544.127269
32,10000,1.303347,1534.510714
32,10000,1.295340,1543.995812
64,10000,1.201901,1664.031200
64,10000,1.187276,1684.528415
64,10000,1.214029,1647.407344
64,10000,1.220556,1638.597939
64,10000,1.182831,1690.859148
