cores,size,time,gflops
1,10000,39.136504,51.103185
1,10000,38.828799,51.508160
1,10000,39.046711,51.220703
1,10000,38.500538,51.947325
1,10000,37.748879,52.981706
2,10000,21.283818,93.968105
2,10000,20.765731,96.312526
2,10000,20.940475,95.508819
2,10000,21.745461,91.973215
2,10000,21.147620,94.573291
4,10000,13.533231,147.784373
4,10000,13.689825,146.093911
4,10000,12.718640,157.249513
4,10000,12.566273,159.156175
4,10000,12.794053,156.322632
8,10000,5.396899,370.583198
8,10000,5.360047,373.131087
8,10000,5.368312,372.556595
8,10000,5.518084,362.444653
8,10000,5.441910,367.518022
16,10000,2.850749,701.569968
16,10000,2.902781,688.994390
16,10000,2.903905,688.727719
16,10000,2.876087,695.389333
16,10000,2.874710,695.722427
32,10000,1.886887,1059.947123
32,10000,1.902368,1051.321448
32,10000,1.895832,1054.945809
32,10000,1.939413,1031.240130
32,10000,1.931964,1035.216171
64,10000,1.857099,1076.948519
64,10000,1.823641,1096.707234
64,10000,1.860882,1074.758913
64,10000,1.865238,1072.249386
64,10000,1.862444,1073.857788
