cores,size,time,gflops
1,10000,20.683068,96.697452
1,10000,22.043592,90.729317
1,10000,20.657155,96.818751
1,10000,20.713968,96.553205
1,10000,20.933055,95.542670
2,10000,11.119967,179.856643
2,10000,10.680946,187.249327
2,10000,10.864762,184.081343
2,10000,10.644717,187.886622
2,10000,10.679610,187.272764
4,10000,5.480445,364.933870
4,10000,5.356195,373.399402
4,10000,5.400875,370.310375
4,10000,5.319622,375.966545
4,10000,5.532482,361.501421
8,10000,2.783302,718.570910
8,10000,2.766795,722.858016
8,10000,2.760308,724.556698
8,10000,2.773531,721.102418
8,10000,2.793486,715.951413
16,10000,1.459879,1369.976619
16,10000,1.451849,1377.554170
16,10000,1.443843,1385.192145
16,10000,1.443652,1385.375622
16,10000,1.446391,1382.751796
32,10000,1.230351,1625.552152
32,10000,1.217969,1642.078495
32,10000,1.223935,1634.073215
32,10000,1.225079,1632.547733
32,10000,1.224295,1633.592688
64,10000,1.650891,1211.466760
64,10000,1.648883,1212.942131
64,10000,1.662341,1203.122648
64,10000,1.639993,1219.517259
64,10000,1.661294,1203.881174
