cores,size,time,gflops
1,20000,331.091136,48.325063
1,20000,333.174221,48.022923
2,20000,166.835211,95.903017
2,20000,167.503728,95.520262
4,20000,92.140469,173.647912
4,20000,92.220736,173.496772
8,20000,47.942650,333.732071
8,20000,48.718821,328.415172
16,20000,25.347101,631.235906
16,20000,25.124643,636.824979
32,20000,15.344614,1042.711159
32,20000,15.629873,1023.680751
64,20000,14.336165,1116.058581
64,20000,16.337316,979.353027
128,20000,18.134714,882.285745
128,20000,18.737091,853.921231
