cores,size,time,gflops
1,20000,252.528435,63.359202
1,20000,252.068048,63.474923
2,20000,128.981163,124.049122
2,20000,128.793477,124.229894
4,20000,86.909138,184.100319
4,20000,87.225470,183.432660
8,20000,34.654006,461.707080
8,20000,34.401194,465.100137
16,20000,20.780873,769.938786
16,20000,21.068078,759.442780
32,20000,10.643807,1503.221529
32,20000,10.884157,1470.026614
64,20000,9.954853,1607.256328
64,20000,7.685584,2081.819582
128,20000,9.536260,1677.806556
128,20000,9.642121,1659.385868
