cores,size,time,gflops
1,10000,30.428768,65.727274
1,10000,30.433547,65.716953
1,10000,30.444444,65.693433
1,10000,30.443432,65.695616
1,10000,30.455638,65.669286
2,10000,17.845790,112.071252
2,10000,17.877190,111.874405
2,10000,17.906069,111.693976
2,10000,17.918940,111.613747
2,10000,17.902628,111.715440
4,10000,9.076736,220.343523
4,10000,9.025188,221.602030
4,10000,9.060740,220.732513
4,10000,9.043156,221.161726
4,10000,9.022258,221.674002
8,10000,4.312886,463.726571
8,10000,4.313957,463.611465
8,10000,4.313227,463.689971
8,10000,4.318149,463.161375
8,10000,4.318493,463.124552
12,10000,2.841366,703.886803
12,10000,2.845076,702.969019
12,10000,2.848795,702.051187
12,10000,2.845415,702.885257
12,10000,2.845887,702.768521
16,10000,2.191618,912.567988
16,10000,2.189744,913.348844
16,10000,2.189664,913.382342
16,10000,2.189473,913.461914
16,10000,2.185987,914.918356
20,10000,1.793164,1115.347259
20,10000,1.799249,1111.575136
20,10000,1.802390,1109.637679
20,10000,1.791632,1116.300903
20,10000,1.798049,1112.316786
24,10000,1.648525,1213.205669
24,10000,1.646596,1214.627000
24,10000,1.662491,1203.014152
24,10000,1.655728,1207.928159
24,10000,1.657230,1206.833173
