cores,size,time,gflops
1,10000,30.296470,66.014292
1,10000,30.224689,66.171069
1,10000,29.929683,66.823293
1,10000,30.228147,66.163500
1,10000,29.824700,67.058512
2,10000,16.717870,119.632466
2,10000,16.937635,118.080242
2,10000,16.878947,118.490807
2,10000,16.859018,118.630875
2,10000,17.189924,116.347228
4,10000,7.834645,255.276418
4,10000,7.867373,254.214476
4,10000,7.829911,255.430757
4,10000,7.884166,253.673001
4,10000,7.850158,254.771934
8,10000,3.810852,524.817065
8,10000,3.810625,524.848279
8,10000,3.808824,525.096406
8,10000,3.811522,524.724820
8,10000,3.811916,524.670601
12,10000,2.544511,786.005753
12,10000,2.542190,786.723262
12,10000,2.542011,786.778648
12,10000,2.544787,785.920276
12,10000,2.546324,785.445961
16,10000,1.922321,1040.408865
16,10000,1.927687,1037.512906
16,10000,1.930961,1035.753487
16,10000,1.924976,1038.974173
16,10000,1.928481,1037.085804
20,10000,1.558989,1282.882696
20,10000,1.560384,1281.736003
20,10000,1.555296,1285.928480
20,10000,1.553279,1287.598873
20,10000,1.560961,1281.261964
24,10000,1.319144,1516.134742
24,10000,1.327660,1506.409806
24,10000,1.319129,1516.152493
24,10000,1.321067,1513.927896
24,10000,1.317804,1517.676402
