cores,size,time,gflops
1,10000,15.786607,126.689669
1,10000,15.906973,125.731025
1,10000,15.924746,125.590703
1,10000,15.767640,126.842060
1,10000,15.774529,126.786667
2,10000,9.554164,209.332800
2,10000,9.417750,212.364939
2,10000,9.566730,209.057858
2,10000,9.384666,213.113610
2,10000,9.474815,211.085907
4,10000,4.754255,420.675775
4,10000,4.817790,415.128129
4,10000,4.813263,415.518566
4,10000,4.755808,420.538443
4,10000,4.843459,412.928023
8,10000,2.317722,862.916393
8,10000,2.424055,825.063681
8,10000,2.429397,823.249528
8,10000,2.422591,825.562231
8,10000,2.318586,862.594829
12,10000,1.561670,1280.680170
12,10000,1.563775,1278.956641
12,10000,1.562688,1279.845744
12,10000,1.569502,1274.289745
12,10000,1.567130,1276.218320
16,10000,1.221286,1637.618551
16,10000,1.220574,1638.573779
16,10000,1.221164,1637.781188
16,10000,1.223493,1634.664308
16,10000,1.222573,1635.893977
20,10000,1.004862,1990.322334
20,10000,1.001863,1996.281200
20,10000,1.011926,1976.428661
20,10000,0.998229,2003.548868
20,10000,0.997849,2004.310707
24,10000,0.912231,2192.428075
24,10000,0.909489,2199.035876
24,10000,0.911108,2195.130507
24,10000,0.912986,2190.612946
24,10000,0.910251,2197.196778
