cores,size,time,gflops
1,10000,15.222760,131.382217
1,10000,15.110718,132.356384
1,10000,15.116426,132.306405
1,10000,15.085644,132.576378
1,10000,15.110701,132.356533
2,10000,8.580852,233.077078
2,10000,8.574190,233.258185
2,10000,8.713755,229.522178
2,10000,8.387237,238.457556
2,10000,8.333537,239.994127
4,10000,4.040724,494.960824
4,10000,4.054183,493.317613
4,10000,3.978681,502.679146
4,10000,3.973440,503.342198
4,10000,3.997444,500.319679
8,10000,1.958818,1021.024025
8,10000,1.962543,1019.085705
8,10000,1.966646,1016.959640
8,10000,1.964088,1018.284277
8,10000,1.958858,1021.003219
12,10000,1.317405,1518.135829
12,10000,1.319454,1515.778453
12,10000,1.316099,1519.642749
12,10000,1.314053,1522.009023
12,10000,1.316256,1519.461379
16,10000,0.988785,2022.684610
16,10000,0.987367,2025.589132
16,10000,0.991390,2017.368728
16,10000,0.988751,2022.753634
16,10000,0.990959,2018.247058
20,10000,0.803460,2489.234094
20,10000,0.804373,2486.407655
20,10000,0.802746,2491.448635
20,10000,0.803619,2488.741593
20,10000,0.804238,2486.825841
24,10000,0.679705,2942.452504
24,10000,0.681282,2935.642616
24,10000,0.680816,2937.651410
24,10000,0.680301,2939.874785
24,10000,0.680767,2937.864193
