cores,size,time,gflops
1,10000,14.495549,137.973387
1,10000,14.432916,138.572140
1,10000,14.423256,138.664949
1,10000,14.431634,138.584449
1,10000,14.444615,138.459904
2,10000,8.604354,232.440473
2,10000,8.330940,240.068948
2,10000,8.346562,239.619617
2,10000,8.526846,234.553325
2,10000,8.372420,238.879554
4,10000,3.979947,502.519265
4,10000,3.968649,503.949887
4,10000,3.993072,500.867533
4,10000,3.967823,504.054686
4,10000,3.976856,502.909776
8,10000,1.932193,1035.093355
8,10000,2.007615,996.206695
8,10000,1.933600,1034.340003
8,10000,1.925581,1038.647516
8,10000,1.924359,1039.307129
12,10000,1.305375,1532.126205
12,10000,1.308193,1528.826207
12,10000,1.315176,1520.709385
12,10000,1.311861,1524.551233
12,10000,1.330677,1502.994669
16,10000,0.972059,2057.487977
16,10000,0.971968,2057.680230
16,10000,0.971859,2057.912739
16,10000,0.974178,2053.012690
16,10000,0.975577,2050.068566
20,10000,0.819105,2441.689140
20,10000,0.820317,2438.083011
20,10000,0.817834,2445.484908
20,10000,0.817620,2446.125038
20,10000,0.822424,2431.836558
24,10000,0.693521,2883.836505
24,10000,0.695629,2875.094433
24,10000,0.690270,2897.418258
24,10000,0.693204,2885.154384
24,10000,0.704500,2838.893513
