cores,size,time,gflops
1,10000,30.395324,65.799595
1,10000,30.283124,66.043385
1,10000,30.446856,65.688228
1,10000,30.359835,65.876511
1,10000,30.371746,65.850677
2,10000,16.205549,123.414516
2,10000,16.129654,123.995219
2,10000,16.168826,123.694819
2,10000,16.190774,123.527138
2,10000,16.205322,123.416247
4,10000,7.960229,251.249061
4,10000,8.020224,249.369605
4,10000,8.029700,249.075300
4,10000,8.028001,249.128009
4,10000,8.022825,249.288737
8,10000,3.978985,502.640733
8,10000,3.975911,503.029373
8,10000,3.989192,501.354652
8,10000,3.966821,504.182026
8,10000,3.966058,504.279095
12,10000,2.707502,738.688405
12,10000,2.652540,753.994425
12,10000,2.671563,748.625372
12,10000,2.666398,750.075704
12,10000,2.674702,747.746767
