cores,size,time,gflops
1,10000,29.574137,67.626655
1,10000,29.483645,67.834219
1,10000,29.675742,67.395114
1,10000,29.509005,67.775921
1,10000,29.534910,67.716475
2,10000,15.721544,127.213965
2,10000,15.709463,127.311799
2,10000,15.552376,128.597715
2,10000,15.735889,127.098002
2,10000,15.685664,127.504960
4,10000,7.461439,268.044803
4,10000,7.464467,267.936089
4,10000,7.461810,268.031474
4,10000,7.464172,267.946677
4,10000,7.463215,267.981027
8,10000,3.673929,544.376332
8,10000,3.674426,544.302743
8,10000,3.676036,544.064303
8,10000,3.673966,544.370906
8,10000,3.673746,544.403382
12,10000,2.449319,816.553516
12,10000,2.451841,815.713427
12,10000,2.450269,816.236927
12,10000,2.453591,815.131840
12,10000,2.451534,815.815799
