cores,size,time,gflops
1,10000,28.663042,69.776265
1,10000,28.622024,69.876260
1,10000,28.691872,69.706151
1,10000,28.615114,69.893134
1,10000,28.612529,69.899449
2,10000,15.752196,126.966421
2,10000,15.944417,125.435759
2,10000,15.810581,126.497566
2,10000,15.555920,128.568415
2,10000,15.792235,126.644515
4,10000,7.408816,269.948675
4,10000,7.423520,269.413984
4,10000,7.419140,269.573018
4,10000,7.394681,270.464663
4,10000,7.421364,269.492224
8,10000,3.715301,538.314364
8,10000,3.711357,538.886420
8,10000,3.706441,539.601159
8,10000,3.717597,537.981924
8,10000,3.710218,539.051914
12,10000,2.491931,802.590356
12,10000,2.498508,800.477749
12,10000,2.497441,800.819623
12,10000,2.493990,801.927907
12,10000,2.491903,802.599573
