cores,size,time,gflops
1,10000,15.730298,127.143177
1,10000,15.759127,126.910580
1,10000,15.758638,126.914524
1,10000,15.766953,126.847594
1,10000,15.737486,127.085103
2,10000,8.371213,238.914004
2,10000,8.260256,242.123242
2,10000,8.422289,237.465139
2,10000,8.410805,237.789359
2,10000,8.403348,238.000374
4,10000,4.117399,485.743557
4,10000,4.099202,487.899838
4,10000,4.123146,485.066550
4,10000,4.118043,485.667543
4,10000,4.106348,487.050809
8,10000,2.088692,957.537133
8,10000,2.088964,957.412403
8,10000,2.085027,959.220334
8,10000,2.096349,954.039825
8,10000,2.091859,956.087291
12,10000,1.440932,1387.990808
12,10000,1.440037,1388.853163
12,10000,1.434880,1393.844861
12,10000,1.435433,1393.308138
12,10000,1.434633,1394.084689
