cores,size,time,gflops
1,10000,15.410077,129.785206
1,10000,14.998525,133.346443
1,10000,14.985545,133.461950
1,10000,15.001860,133.316799
1,10000,15.031176,133.056787
2,10000,7.899198,253.190247
2,10000,7.919814,252.531189
2,10000,7.906207,252.965794
2,10000,7.846737,254.883008
2,10000,7.916298,252.643358
4,10000,3.779149,529.219718
4,10000,3.779055,529.232795
4,10000,3.777186,529.494651
4,10000,3.783925,528.551662
4,10000,3.779841,529.122742
8,10000,1.868992,1070.095258
8,10000,1.871385,1068.727329
8,10000,1.869226,1069.961428
8,10000,1.868585,1070.328789
8,10000,1.869183,1069.985998
12,10000,1.245389,1605.923373
12,10000,1.245427,1605.875362
12,10000,1.245790,1605.406683
12,10000,1.246228,1604.842139
12,10000,1.247002,1603.846954
