cores,size,time,gflops
1,10000,14.439152,138.512292
1,10000,14.389367,138.991519
1,10000,14.390623,138.979390
1,10000,14.391108,138.974702
1,10000,14.367801,139.200149
2,10000,7.808967,256.115815
2,10000,7.931629,252.155004
2,10000,7.834977,255.265580
2,10000,7.839716,255.111295
2,10000,7.833618,255.309857
4,10000,3.705888,539.681674
4,10000,3.698840,540.710020
4,10000,3.698217,540.801099
4,10000,3.701022,540.391290
4,10000,3.703725,539.996912
8,10000,1.847908,1082.304933
8,10000,1.846224,1083.292430
8,10000,1.846430,1083.171509
8,10000,1.849017,1081.656024
8,10000,1.847190,1082.725663
12,10000,1.262242,1584.482073
12,10000,1.259715,1587.660624
12,10000,1.258865,1588.732287
12,10000,1.260054,1587.233538
12,10000,1.257016,1591.070223
